Employee Number,Decimal Number
208832,40.00
208832,40.00
209024,24.00
208833,40.00
208833,40.00
209027,24.00
208034,40.00
208034,40.00
209025,24.00
208841,56.00
208841,40.00
208841,163.04
208841,319.01
208841,40.00
208841,64.00
208174,40.00
208174,40.00
208174,56.00
208174,72.00
208174,200.00
208174,163.04
208174,319.01
208174,200.00
208174,64.00
208218,353.72
208218,.00
208218,56.00
208218,.00
208218,4.00
208218,192.15
208218,84.76
208218,.00
208218,480.00
208218,8.00
208218,36.00
209123,40.00
208687,56.00
208687,40.00
208687,180.93
208687,43.56
208687,40.00
208687,36.00
208626,132.47
208626,16.00
208626,56.00
208626,441.81
208626,.00
208626,35.00
208626,30.00
208989,49.98
208989,16.00
208989,56.00
208989,172.86
208989,40.00
208989,40.00
208724,56.00
208724,36.00
208724,600.00
208724,203.16
208724,32.00
208724,80.00
208766,56.00
208766,11.00
208766,.00
208766,291.41
208766,480.00
208766,29.00
208766,38.77
208641,205.91
208641,16.00
208641,56.00
208641,513.69
208641,.00
208641,40.00
208641,40.00
209078,56.00
209078,48.00
209078,144.00
209078,64.00
208474,181.30
208474,16.00
208474,56.00
208474,516.79
208474,.00
208474,11.00
208474,40.00
209167,104.00
209167,56.00
209167,46.20
209167,11.10
208806,174.66
208806,.00
208806,56.00
208806,250.08
208806,40.00
208806,207.68
208806,195.03
208806,40.00
208806,50.50
208639,200.17
208639,16.00
208639,56.00
208639,373.61
208639,.00
208639,22.00
208639,205.74
208639,185.40
208639,40.00
208639,16.12
208639,402.21
208639,80.00
208639,672.00
208639,46.20
208639,40.00
208639,268.84
208639,279.00
208639,434.50
208639,147.32
208639,960.00
208639,11.10
208639,339.00
208639,321.39
208931,43.80
208931,16.00
208931,56.00
208931,310.40
208931,40.00
208931,40.00
208931,43.80
208931,16.00
208931,56.00
208931,310.40
208931,40.00
208931,40.00
208025,253.70
208025,.00
208025,56.00
208025,668.76
208025,.00
208025,40.00
208025,480.00
208025,589.82
208025,.00
208025,32.00
208025,48.00
208599,54.69
208599,16.00
208599,56.00
208599,649.67
208599,40.00
208599,30.00
208659,24.00
208659,25.50
208659,25.50
208659,308.39
208659,16.00
208659,112.00
208659,24.00
208659,318.43
208659,105.50
208659,480.00
208659,589.82
208659,87.50
208659,48.00
208436,130.18
208436,107.54
208436,.00
208436,32.00
208436,480.00
208436,.00
208436,16.00
208436,.00
208436,.00
208436,198.65
208436,.00
209072,82.08
209072,.00
209072,.00
209072,14.00
209072,.00
209072,85.40
208302,248.70
208302,16.00
208302,56.00
208302,226.30
208302,.00
208302,40.00
208302,23.00
208302,.00
208302,.00
208302,.00
208302,40.00
209136,29.26
209136,9.37
209136,.00
209136,6.00
209136,.00
209136,35.15
208925,51.01
208925,13.00
208925,.00
208925,.00
208925,16.00
208925,.00
208925,5.00
208925,47.70
208925,.00
208417,225.03
208417,16.00
208417,56.00
208417,555.23
208417,.00
208417,40.00
208417,80.00
208417,13.00
208417,766.26
208417,32.00
208417,112.00
208417,781.53
208417,129.91
208417,80.00
208417,112.00
208417,480.00
208417,23.00
208417,52.00
208417,5.00
208417,366.90
208417,53.00
209149,21.56
209149,.00
209149,.00
209149,15.50
209149,.00
209149,25.90
208544,115.69
208544,16.00
208544,56.00
208544,179.36
208544,.00
208544,32.00
208544,28.50
208544,8.48
208544,.00
208544,.00
208544,.00
208544,25.88
208544,40.00
208544,137.25
208544,16.00
208544,56.00
208544,179.36
208544,.00
208544,32.00
208544,28.50
208544,8.48
208544,15.50
208544,51.78
208544,40.00
208964,22.96
208964,1.50
208964,18.00
208964,.00
208964,16.00
208964,79.45
208964,4.00
208964,22.96
208964,1.50
208964,18.00
208964,16.00
208964,79.45
208964,4.00
208267,121.99
208267,.00
208267,56.00
208267,55.40
208267,.00
208267,.00
208267,40.00
208267,.00
208267,480.00
208267,.00
208267,.00
208267,.00
208267,24.00
208267,255.92
208267,40.00
208151,12.32
208151,.00
208151,.00
208151,16.00
208151,.00
208151,14.80
209068,78.50
209068,.00
209068,.00
209068,.00
209068,.00
209068,6.00
209068,32.95
209060,.00
209060,.00
209060,.00
209060,16.00
209060,.00
209060,3.70
209035,51.65
209035,.00
209035,.00
209035,.00
209035,.00
209035,.00
209035,12.00
209035,53.01
209083,53.22
209083,52.50
209083,.00
209083,.00
209083,.00
209083,36.75
205567,584.65
205567,56.00
205567,68.80
205567,.00
205567,.00
205567,.00
205567,.00
205567,.00
205567,.00
205567,.00
205567,22.00
205567,953.15
205567,10.00
205567,902.33
205567,112.00
205567,124.20
205567,52.50
205567,40.00
205567,480.00
205567,32.00
205567,64.00
205567,350.28
205567,50.00
208783,45.42
208783,16.00
208783,56.00
208783,281.13
208783,23.00
208783,4.00
209178,56.00
209178,3.08
209178,5.54
209178,40.04
208977,20.25
208977,.00
208977,56.00
208977,183.75
208977,1.50
208977,40.00
208977,40.00
208977,65.67
208977,16.00
208977,168.00
208977,464.88
208977,1.50
208977,63.00
208977,3.08
208977,5.54
208977,44.00
208977,40.04
208886,8.34
208886,.00
208886,56.00
208886,16.42
208886,40.00
208886,36.00
208856,14.40
208856,.00
208856,56.00
208856,53.86
208856,40.00
208856,29.50
208864,180.41
208864,16.00
208864,56.00
208864,360.33
208864,40.00
208864,3.50
208478,158.96
208478,.00
208478,56.00
208478,722.96
208478,40.00
208478,4.62
208478,5.54
208478,39.00
208478,40.00
208887,32.68
208887,2.00
208887,56.00
208887,33.64
208887,5.00
208887,22.00
208962,3.08
208962,16.00
208962,56.00
208962,5.54
208825,80.00
208825,56.00
208825,40.00
208825,600.00
208825,429.04
208825,32.00
208811,139.92
208811,16.00
208811,56.00
208811,60.46
208811,.00
208811,14.00
208811,2.00
208594,56.00
208594,.00
208594,132.42
208594,522.51
208594,40.00
208594,.00
208234,109.94
208234,.00
208234,56.00
208234,77.76
208234,.00
208234,40.00
208234,386.16
208234,181.32
208234,.00
208234,.00
208234,31.00
208234,22.00
208851,227.64
208851,16.00
208851,56.00
208851,298.55
208851,.00
208851,32.00
208851,875.37
208851,80.00
208851,66.00
208851,616.00
208851,629.52
208851,259.00
208851,123.20
208851,138.41
208851,267.00
208851,62.00
208865,27.16
208865,14.00
208865,56.00
208865,125.58
208865,40.00
208865,40.00
208657,71.67
208657,16.00
208657,56.00
208657,18.11
208657,.00
208657,16.00
208657,28.00
209175,3.08
209175,16.00
209175,56.00
209175,5.54
209175,.00
209175,101.91
209175,46.00
209175,168.00
209175,149.23
209175,56.00
209175,68.00
208423,354.73
208423,236.92
208423,9.25
208423,.00
208423,16.00
208423,.00
208423,324.95
208423,40.00
209032,12.32
209032,.00
209032,.00
209032,8.00
209032,.00
209032,14.80
207845,147.10
207845,.00
207845,56.00
207845,389.31
207845,.00
207845,40.00
207845,795.69
207845,513.28
207845,.00
207845,.00
207845,.00
207845,5.00
207845,40.00
207845,80.00
209031,43.00
207884,476.30
207884,16.00
207884,56.00
207884,399.77
207884,.00
207884,40.00
207884,.00
207884,.00
207884,.00
207884,.00
207884,533.78
207884,40.00
208777,230.35
208777,8.00
208777,56.00
208777,418.26
208777,40.00
208777,40.00
208969,95.43
208969,9.12
208969,40.00
208969,.00
208969,16.00
208969,114.75
208969,32.00
208985,66.14
208985,3.87
208985,.25
208985,.00
208985,8.00
208985,.00
208985,17.06
208985,40.00
208698,11.14
208698,.00
208698,40.00
208698,.00
